song_id,title,artist,provider,identifier,version,duration_s,access_modality,authorized_computational_access,authorization_basis,result,validation_state,provenance
tik_tok_kesha,TiK ToK,Kesha,musicbrainz,,original commercial recording,200,metadata,false,metadata only,IDENTITY_ONLY,,MusicBrainz recording evidence
tik_tok_kesha,TiK ToK,Kesha,massivemusic_fingerprinting,,target commercial studio recording,,provider VM + internal HTTP,false,explicit bulk-analysis environment but project partner/label whitelist not provisioned,CONDITIONAL_AUTHORIZED_ROUTE,,MassiveMusic Fingerprinting documentation
tik_tok_kesha,TiK ToK,Kesha,massivemusic_media_transfer,,target commercial studio recording,,licensed media transfer,false,requires project/licensor authorization,CONDITIONAL_AUTHORIZED_ROUTE,,MassiveMusic Media Transfer documentation
tik_tok_kesha,TiK ToK,Kesha,jamendo_mtg,,target commercial studio recording,,CC/research catalogue,false,no matching released master established,REFERENCE_UNAVAILABLE,AUDIT,MTG-Jamendo catalogue/license review
tik_tok_kesha,TiK ToK,Kesha,freesound,,target commercial studio recording,,API licensed sounds,false,no matching released master established,REFERENCE_UNAVAILABLE,AUDIT,Freesound provider/search review
firework_katy_perry,Firework,Katy Perry,musicbrainz,release:aa7a4143-d38b-4f4a-abcd-bdcdb19155e0,partial snippet release,,metadata,false,metadata only and partial version rejected,IDENTITY_ONLY,,MusicBrainz explicitly marks partial recording
firework_katy_perry,Firework,Katy Perry,massivemusic_fingerprinting,,target commercial studio recording,,provider VM + internal HTTP,false,explicit bulk-analysis environment but project partner/label whitelist not provisioned,CONDITIONAL_AUTHORIZED_ROUTE,,MassiveMusic Fingerprinting documentation
firework_katy_perry,Firework,Katy Perry,massivemusic_media_transfer,,target commercial studio recording,,licensed media transfer,false,requires project/licensor authorization,CONDITIONAL_AUTHORIZED_ROUTE,,MassiveMusic Media Transfer documentation
firework_katy_perry,Firework,Katy Perry,jamendo_mtg,,target commercial studio recording,,CC/research catalogue,false,no matching released master established,REFERENCE_UNAVAILABLE,AUDIT,MTG-Jamendo catalogue/license review
firework_katy_perry,Firework,Katy Perry,freesound,,target commercial studio recording,,API licensed sounds,false,no matching released master established,REFERENCE_UNAVAILABLE,AUDIT,Freesound provider/search review
dynamite_taio_cruz,Dynamite,Taio Cruz,musicbrainz,release:b06cb071-cff2-4cda-a2b5-9856a4ca2625,original commercial recording,204,metadata,false,metadata only,IDENTITY_ONLY,,MusicBrainz release evidence
dynamite_taio_cruz,Dynamite,Taio Cruz,massivemusic_fingerprinting,,target commercial studio recording,,provider VM + internal HTTP,false,explicit bulk-analysis environment but project partner/label whitelist not provisioned,CONDITIONAL_AUTHORIZED_ROUTE,,MassiveMusic Fingerprinting documentation
dynamite_taio_cruz,Dynamite,Taio Cruz,massivemusic_media_transfer,,target commercial studio recording,,licensed media transfer,false,requires project/licensor authorization,CONDITIONAL_AUTHORIZED_ROUTE,,MassiveMusic Media Transfer documentation
dynamite_taio_cruz,Dynamite,Taio Cruz,jamendo_mtg,,target commercial studio recording,,CC/research catalogue,false,no matching released master established,REFERENCE_UNAVAILABLE,AUDIT,MTG-Jamendo catalogue/license review
dynamite_taio_cruz,Dynamite,Taio Cruz,freesound,,target commercial studio recording,,API licensed sounds,false,no matching released master established,REFERENCE_UNAVAILABLE,AUDIT,Freesound provider/search review
